"","ID","Description","Count","GeneRatio","geneID"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/28",""
"GO:0042562","GO:0042562","hormone binding",0,"0/28",""
"GO:0043167","GO:0043167","ion binding",6,"6/28","S100A6/PRUNE2/HRNR/HLCS/FLG2/CYP1B1"
"GO:0043176","GO:0043176","amine binding",0,"0/28",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/28",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/28",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/28",""
"GO:0044877","GO:0044877","protein-containing complex binding",4,"4/28","PITX3/PHAX/NES/CTNNA2"
"GO:0046790","GO:0046790","virion binding",1,"1/28","PITX3"
"GO:0046812","GO:0046812","host cell surface binding",0,"0/28",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/28",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/28",""
"GO:0048038","GO:0048038","quinone binding",0,"0/28",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/28",""
"GO:0050825","GO:0050825","ice binding",0,"0/28",""
"GO:0050840","GO:0050840","extracellular matrix binding",0,"0/28",""
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/28",""
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/28",""
"GO:0051540","GO:0051540","metal cluster binding",0,"0/28",""
"GO:0070025","GO:0070025","carbon monoxide binding",0,"0/28",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/28",""
"GO:0072328","GO:0072328","alkene binding",0,"0/28",""
"GO:0072341","GO:0072341","modified amino acid binding",0,"0/28",""
"GO:0097159","GO:0097159","organic cyclic compound binding",6,"6/28","PITX3/PHAX/NPC2/MRPL1/HLCS/CYP1B1"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/28",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",1,"1/28","HLCS"
"GO:0140272","GO:0140272","exogenous protein binding",1,"1/28","CD46"
"GO:0140355","GO:0140355","cargo receptor ligand activity",0,"0/28",""
"GO:1901363","GO:1901363","heterocyclic compound binding",5,"5/28","PITX3/PHAX/MRPL1/HLCS/CYP1B1"
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/28",""
"GO:1901681","GO:1901681","sulfur compound binding",1,"1/28","HLCS"
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/28",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/28",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/28",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/28",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/28",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase (NADPH) activity",0,"0/28",""
"GO:0004601","GO:0004601","peroxidase activity",0,"0/28",""
"GO:0004784","GO:0004784","superoxide dismutase activity",0,"0/28",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/28",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/28",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/28",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/28",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/28",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/28",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/28",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/28",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/28",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/28",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/28",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/28",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/28",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/28",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/28",""
"GO:0097020","GO:0097020","COPII receptor activity",0,"0/28",""
"GO:0140488","GO:0140488","heme receptor activity",0,"0/28",""
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone",0,"0/28",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/28",""
"GO:0030371","GO:0030371","translation repressor activity",0,"0/28",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/28",""
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",0,"0/28",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/28",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/28",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/28",""
"GO:0031992","GO:0031992","energy transducer activity",0,"0/28",""
"GO:0038023","GO:0038023","signaling receptor activity",1,"1/28","CD46"
"GO:0030533","GO:0030533","triplet codon-amino acid adaptor activity",0,"0/28",""
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity",0,"0/28",""
"GO:0106260","GO:0106260","DNA-DNA tethering activity",0,"0/28",""
"GO:0003925","GO:0003925","G protein activity",0,"0/28",""
"GO:0016247","GO:0016247","channel regulator activity",0,"0/28",""
"GO:0030234","GO:0030234","enzyme regulator activity",0,"0/28",""
"GO:0030545","GO:0030545","signaling receptor regulator activity",0,"0/28",""
"GO:0060590","GO:0060590","ATPase regulator activity",0,"0/28",""
"GO:0140659","GO:0140659","cytoskeletal motor regulator activity",0,"0/28",""
"GO:0140677","GO:0140677","molecular function activator activity",0,"0/28",""
"GO:0140678","GO:0140678","molecular function inhibitor activity",0,"0/28",""
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/28",""
"GO:0016530","GO:0016530","metallochaperone activity",0,"0/28",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/28",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/28",""
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/28",""
"GO:0140414","GO:0140414","phosphopantetheine-dependent carrier activity",0,"0/28",""
"GO:0140597","GO:0140597","protein carrier chaperone",1,"1/28","PEX19"
"GO:0001070","GO:0001070","RNA-binding transcription regulator activity",0,"0/28",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/28",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/28",""
"GO:0003700","GO:0003700","DNA-binding transcription factor activity",1,"1/28","PITX3"
"GO:0003711","GO:0003711","transcription elongation regulator activity",0,"0/28",""
"GO:0003712","GO:0003712","transcription coregulator activity",0,"0/28",""
"GO:0043856","GO:0043856","anti-sigma factor antagonist activity",0,"0/28",""
"GO:0000995","GO:0000995","RNA polymerase III general transcription initiation factor activity",0,"0/28",""
"GO:0001181","GO:0001181","RNA polymerase I general transcription initiation factor activity",0,"0/28",""
"GO:0016251","GO:0016251","RNA polymerase II general transcription initiation factor activity",0,"0/28",""
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",0,"0/28",""
"GO:0005034","GO:0005034","osmosensor activity",0,"0/28",""
"GO:0019826","GO:0019826","oxygen sensor activity",0,"0/28",""
"GO:0035991","GO:0035991","nitric oxide sensor activity",0,"0/28",""
"GO:0061891","GO:0061891","calcium ion sensor activity",0,"0/28",""
"GO:0070027","GO:0070027","carbon monoxide sensor activity",0,"0/28",""
"GO:0097063","GO:0097063","cadmium ion sensor activity",0,"0/28",""
"GO:0097077","GO:0097077","copper ion sensor activity",0,"0/28",""
"GO:0106219","GO:0106219","zinc ion sensor activity",0,"0/28",""
"GO:0106254","GO:0106254","lipid sensor activity",0,"0/28",""
"GO:0120285","GO:0120285","tyrosine sensor activity",0,"0/28",""
"GO:0120286","GO:0120286","tryptophan sensor activity",0,"0/28",""
"GO:0140442","GO:0140442","peroxide sensor activity",0,"0/28",""
"GO:0140482","GO:0140482","iron sensor activity",0,"0/28",""
"GO:0140550","GO:0140550","phosphatidylinositol-4,5-bisphosphate sensor activity",0,"0/28",""
"GO:0140612","GO:0140612","DNA damage sensor activity",0,"0/28",""
"GO:0097351","GO:0097351","toxin sequestering activity",0,"0/28",""
"GO:0140311","GO:0140311","protein sequestering activity",0,"0/28",""
"GO:0140319","GO:0140319","receptor decoy activity",0,"0/28",""
"GO:0140487","GO:0140487","metal ion sequestering activity",0,"0/28",""
"GO:0140610","GO:0140610","RNA sequestering activity",0,"0/28",""
"GO:0000497","GO:0000497","DNA template activity",0,"0/28",""
"GO:0140490","GO:0140490","microtubule nucleator activity",0,"0/28",""
"GO:0140523","GO:0140523","GTPase-dependent fusogenic activity",0,"0/28",""
"GO:0004176","GO:0004176","ATP-dependent peptidase activity",0,"0/28",""
"GO:0004386","GO:0004386","helicase activity",0,"0/28",""
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA",0,"0/28",""
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA",0,"0/28",""
"GO:0008568","GO:0008568","microtubule-severing ATPase activity",0,"0/28",""
"GO:0015645","GO:0015645","fatty acid ligase activity",0,"0/28",""
"GO:0016887","GO:0016887","ATP hydrolysis activity",0,"0/28",""
"GO:0030899","GO:0030899","calcium-dependent ATPase activity",0,"0/28",""
"GO:0036310","GO:0036310","ATP-dependent DNA/DNA annealing activity",0,"0/28",""
"GO:0036402","GO:0036402","proteasome-activating activity",0,"0/28",""
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity",0,"0/28",""
"GO:0070463","GO:0070463","tubulin-dependent ATPase activity",0,"0/28",""
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity",0,"0/28",""
"GO:0140545","GO:0140545","protein disaggregase activity",0,"0/28",""
"GO:0140567","GO:0140567","transmembrane protein dislocase activity",0,"0/28",""
"GO:0140663","GO:0140663","ATP-dependent FeS chaperone activity",0,"0/28",""
"GO:1990833","GO:1990833","clathrin-uncoating ATPase activity",0,"0/28",""
