"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",116,"116/139","YIF1B/XRN1/UXS1/UTP14A/UEVLD/UBAP2L/UBA6/UAP1/TYMP/TSSC4/TPM1/TERT/TCP11L1/TBL3/SYPL1/SYNC/STXBP2/STK10/SOX9/SQLE/SNRNP40/SMYD3/SMARCC1/SIRT6/SGPL1/SESN2/SERPINE2/CCL13/SAMD9/RNH1/RIPK1/RHBDD1/RBM7/RBBP9/RAVER1/RABEPK/PUF60/PRNP/PREP/PLXND1/PLCB3/PIH1D1/PICALM/PHLDB2/PDXDC1/PDLIM7/PDCD11/PCOLCE/PAPSS2/NT5C/NOC4L/NFKBIB/NEU1/NEDD4/NCAPD2/NBR1/NBN/NADSYN1/MTMR6/MPG/AFDN/AMH/MGST2/LYPLA1/LTN1/LTBP2/LGMN/LARS1/LARP4B/KPNB1/ISG15/IRGQ/IFT27/HSPB11/GTF2E1/GSTP1/GRHPR/GPSM1/GPI/GGCT/FUCA2/FN1/FKBP15/ERI1/ERCC6/ELOVL5/ECPAS/DPYSL3/DDX18/CYB5R2/CCN2/CRKL/COL6A1/COL3A1/COL1A2/COL1A1/COIL/COG1/CLN6/CHMP4A/CHAMP1/CDS2/CDC42EP3/CAPG/CALCOCO2/BTN2A1/BLOC1S4/ATG4B/ASMTL/ASCC3/APBB1IP/ANLN/ALDOA/ALDH16A1/ACOX1/AACS"
"GO:0005549","GO:0005549","odorant binding",0,"0/139",""
"GO:0008289","GO:0008289","lipid binding",7,"7/139","PICALM/AMH/GSTP1/CLN6/CHMP4A/CAPG/ACOX1"
"GO:0008430","GO:0008430","selenium binding",0,"0/139",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/139",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/139",""
"GO:0030246","GO:0030246","carbohydrate binding",3,"3/139","PLOD2/GPI/ALDOA"
"GO:0031409","GO:0031409","pigment binding",0,"0/139",""
"GO:0033218","GO:0033218","amide binding",5,"5/139","PRNP/PICALM/NLN/MGST2/KPNB1"
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/139",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",1,"1/139","GSTP1"
"GO:0036094","GO:0036094","small molecule binding",30,"30/139","UXS1/UBA6/TUBAL3/STK10/SQLE/SLFN5/SIRT6/SGPL1/SESN2/CCL13/RIPK1/PLOD2/PDXDC1/PAPSS2/NT5C/NADSYN1/AMH/LARS1/IRGQ/IFT27/GRHPR/GPI/ERCC6/DDX18/CYB5R2/ASCC3/ALDOA/ACOX1/AARS1/AACS"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/139",""
"GO:0042562","GO:0042562","hormone binding",0,"0/139",""
"GO:0043167","GO:0043167","ion binding",55,"55/139","UXS1/UBA6/TYMP/TUBAL3/TERT/STK10/SQLE/SMYD3/SLFN5/SIRT6/SGPL1/CCL13/RNH1/RNF213/RIPK1/PRNP/PLOD2/PLCB3/PICALM/PDXDC1/PDLIM7/PAPSS2/NT5DC3/NT5C/NLN/NEU1/NBR1/NADSYN1/AMH/MGST2/LTN1/LTBP2/LARS1/KPNB1/IRGQ/IFT27/HSPB11/GTF2E1/GSTP1/GRHPR/ERI1/ERCC6/DDX18/CYB5R2/COL3A1/COL1A2/COL1A1/CLN6/CHAMP1/CAPG/CALCOCO2/ASCC3/ACOX1/AARS1/AACS"
"GO:0043176","GO:0043176","amine binding",0,"0/139",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/139",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/139",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/139",""
"GO:0044877","GO:0044877","protein-containing complex binding",18,"18/139","TPM1/SOX9/SMARCC1/SESN2/RIPK1/PRNP/PCOLCE/AFDN/LTN1/ISG15/FN1/ERI1/ERCC6/ECPAS/CCN2/COL6A1/COL3A1/CAPG"
"GO:0046790","GO:0046790","virion binding",0,"0/139",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/139",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/139",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/139",""
"GO:0048038","GO:0048038","quinone binding",0,"0/139",""
"GO:0050436","GO:0050436","microfibril binding",1,"1/139","LTBP2"
"GO:0050825","GO:0050825","ice binding",0,"0/139",""
"GO:0050840","GO:0050840","extracellular matrix binding",0,"0/139",""
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/139",""
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/139",""
"GO:0051540","GO:0051540","metal cluster binding",0,"0/139",""
"GO:0070025","GO:0070025","carbon monoxide binding",0,"0/139",""
"GO:0070026","GO:0070026","nitric oxide binding",1,"1/139","GSTP1"
"GO:0072328","GO:0072328","alkene binding",0,"0/139",""
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/139","MGST2"
"GO:0097159","GO:0097159","organic cyclic compound binding",51,"51/139","XRN1/UXS1/UTP14A/UBAP2L/UBA6/TUBAL3/TERT/TBL3/STK10/SOX9/SQLE/SNRNP40/SMYD3/SMARCC1/SLFN5/SIRT6/SGPL1/CCL13/RPP40/RNH1/RIPK1/RBM7/RAVER1/PUF60/PLOD2/PIH1D1/PDXDC1/PDCD11/PAPSS2/NT5C/NOC4L/NBN/NADSYN1/MPG/LARS1/LARP4B/KPNB1/IRGQ/IFT27/GRHPR/ERI1/ERCC6/DDX18/CYB5R2/CRKL/COIL/ASCC3/ALDOA/ACOX1/AARS1/AACS"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/139",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",25,"25/139","UBA6/TUBAL3/STK10/SLFN5/SERPINE2/CCL13/RIPK1/PRNP/PCOLCE/PAPSS2/NADSYN1/LTBP2/LARS1/IRGQ/IFT27/FN1/ERCC6/DPYSL3/DDX18/CCN2/CTBS/CLN6/ASCC3/AARS1/AACS"
"GO:0140272","GO:0140272","exogenous protein binding",0,"0/139",""
"GO:0140355","GO:0140355","cargo receptor ligand activity",0,"0/139",""
"GO:1901363","GO:1901363","heterocyclic compound binding",51,"51/139","XRN1/UXS1/UTP14A/UBAP2L/UBA6/TUBAL3/TERT/TBL3/STK10/SOX9/SQLE/SNRNP40/SMYD3/SMARCC1/SLFN5/SIRT6/SGPL1/CCL13/RPP40/RNH1/RIPK1/RBM7/RAVER1/PUF60/PLOD2/PIH1D1/PDXDC1/PDCD11/PAPSS2/NT5C/NOC4L/NBN/NADSYN1/MPG/LARS1/LARP4B/KPNB1/IRGQ/IFT27/GRHPR/ERI1/ERCC6/DDX18/CYB5R2/CRKL/COIL/ASCC3/ALDOA/ACOX1/AARS1/AACS"
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/139",""
"GO:1901681","GO:1901681","sulfur compound binding",8,"8/139","SERPINE2/PCOLCE/MGST2/LTBP2/GSTP1/FN1/DPYSL3/CCN2"
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/139",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/139",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/139",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/139",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/139",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase (NADPH) activity",0,"0/139",""
"GO:0004601","GO:0004601","peroxidase activity",2,"2/139","MGST2/GSTP1"
"GO:0004784","GO:0004784","superoxide dismutase activity",0,"0/139",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/139",""
"GO:0032542","GO:0032542","sulfiredoxin activity",1,"1/139","SESN2"
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/139",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/139",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/139",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/139",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/139",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/139",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/139",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/139",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/139",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/139",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/139",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/139",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/139",""
"GO:0097020","GO:0097020","COPII receptor activity",0,"0/139",""
"GO:0140488","GO:0140488","heme receptor activity",0,"0/139",""
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone",0,"0/139",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/139",""
"GO:0030371","GO:0030371","translation repressor activity",0,"0/139",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/139",""
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",0,"0/139",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/139",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/139",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/139",""
"GO:0031992","GO:0031992","energy transducer activity",0,"0/139",""
"GO:0038023","GO:0038023","signaling receptor activity",2,"2/139","PRNP/PLXND1"
"GO:0030533","GO:0030533","triplet codon-amino acid adaptor activity",0,"0/139",""
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity",2,"2/139","CRKL/COL1A2"
"GO:0106260","GO:0106260","DNA-DNA tethering activity",0,"0/139",""
"GO:0003925","GO:0003925","G protein activity",0,"0/139",""
"GO:0016247","GO:0016247","channel regulator activity",1,"1/139","NEDD4"
"GO:0030234","GO:0030234","enzyme regulator activity",11,"11/139","SESN2/SERPINE2/RNH1/PRNP/PCOLCE/MGST2/LARS1/GSTP1/GPSM1/FN1/ERCC6"
"GO:0030545","GO:0030545","signaling receptor regulator activity",6,"6/139","TYMP/CCL13/NBN/AMH/GPI/CCN2"
"GO:0060590","GO:0060590","ATPase regulator activity",0,"0/139",""
"GO:0140659","GO:0140659","cytoskeletal motor regulator activity",0,"0/139",""
"GO:0140677","GO:0140677","molecular function activator activity",0,"0/139",""
"GO:0140678","GO:0140678","molecular function inhibitor activity",1,"1/139","NEDD4"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/139",""
"GO:0016530","GO:0016530","metallochaperone activity",1,"1/139","TYMP"
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/139",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/139",""
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",1,"1/139","KPNB1"
"GO:0140414","GO:0140414","phosphopantetheine-dependent carrier activity",0,"0/139",""
"GO:0140597","GO:0140597","protein carrier chaperone",0,"0/139",""
"GO:0001070","GO:0001070","RNA-binding transcription regulator activity",0,"0/139",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/139",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/139",""
"GO:0003700","GO:0003700","DNA-binding transcription factor activity",1,"1/139","SOX9"
"GO:0003711","GO:0003711","transcription elongation regulator activity",0,"0/139",""
"GO:0003712","GO:0003712","transcription coregulator activity",4,"4/139","SOX9/SMARCC1/SIRT6/NFKBIB"
"GO:0043856","GO:0043856","anti-sigma factor antagonist activity",0,"0/139",""
"GO:0000995","GO:0000995","RNA polymerase III general transcription initiation factor activity",0,"0/139",""
"GO:0001181","GO:0001181","RNA polymerase I general transcription initiation factor activity",0,"0/139",""
"GO:0016251","GO:0016251","RNA polymerase II general transcription initiation factor activity",1,"1/139","GTF2E1"
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",0,"0/139",""
"GO:0005034","GO:0005034","osmosensor activity",0,"0/139",""
"GO:0019826","GO:0019826","oxygen sensor activity",0,"0/139",""
"GO:0035991","GO:0035991","nitric oxide sensor activity",0,"0/139",""
"GO:0061891","GO:0061891","calcium ion sensor activity",0,"0/139",""
"GO:0070027","GO:0070027","carbon monoxide sensor activity",0,"0/139",""
"GO:0097063","GO:0097063","cadmium ion sensor activity",0,"0/139",""
"GO:0097077","GO:0097077","copper ion sensor activity",0,"0/139",""
"GO:0106219","GO:0106219","zinc ion sensor activity",0,"0/139",""
"GO:0106254","GO:0106254","lipid sensor activity",0,"0/139",""
"GO:0120285","GO:0120285","tyrosine sensor activity",0,"0/139",""
"GO:0120286","GO:0120286","tryptophan sensor activity",0,"0/139",""
"GO:0140442","GO:0140442","peroxide sensor activity",0,"0/139",""
"GO:0140482","GO:0140482","iron sensor activity",0,"0/139",""
"GO:0140550","GO:0140550","phosphatidylinositol-4,5-bisphosphate sensor activity",0,"0/139",""
"GO:0140612","GO:0140612","DNA damage sensor activity",0,"0/139",""
"GO:0097351","GO:0097351","toxin sequestering activity",0,"0/139",""
"GO:0140311","GO:0140311","protein sequestering activity",0,"0/139",""
"GO:0140319","GO:0140319","receptor decoy activity",0,"0/139",""
"GO:0140487","GO:0140487","metal ion sequestering activity",0,"0/139",""
"GO:0140610","GO:0140610","RNA sequestering activity",0,"0/139",""
"GO:0000497","GO:0000497","DNA template activity",0,"0/139",""
"GO:0140490","GO:0140490","microtubule nucleator activity",0,"0/139",""
"GO:0140523","GO:0140523","GTPase-dependent fusogenic activity",0,"0/139",""
"GO:0004176","GO:0004176","ATP-dependent peptidase activity",0,"0/139",""
"GO:0004386","GO:0004386","helicase activity",2,"2/139","DDX18/ASCC3"
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA",2,"2/139","ERCC6/ASCC3"
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA",1,"1/139","DDX18"
"GO:0008568","GO:0008568","microtubule-severing ATPase activity",0,"0/139",""
"GO:0015645","GO:0015645","fatty acid ligase activity",0,"0/139",""
"GO:0016887","GO:0016887","ATP hydrolysis activity",4,"4/139","RNF213/ERCC6/DDX18/ASCC3"
"GO:0030899","GO:0030899","calcium-dependent ATPase activity",0,"0/139",""
"GO:0036310","GO:0036310","ATP-dependent DNA/DNA annealing activity",0,"0/139",""
"GO:0036402","GO:0036402","proteasome-activating activity",0,"0/139",""
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity",0,"0/139",""
"GO:0070463","GO:0070463","tubulin-dependent ATPase activity",0,"0/139",""
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity",0,"0/139",""
"GO:0140545","GO:0140545","protein disaggregase activity",0,"0/139",""
"GO:0140567","GO:0140567","transmembrane protein dislocase activity",0,"0/139",""
"GO:0140663","GO:0140663","ATP-dependent FeS chaperone activity",0,"0/139",""
"GO:1990833","GO:1990833","clathrin-uncoating ATPase activity",0,"0/139",""
