"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","8/170","199/71190",3.21702487429511e-08,2.46638573695958e-06,1.81733685881232e-06,"NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",8
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","8/170","199/71190",3.21702487429511e-08,2.46638573695958e-06,1.81733685881232e-06,"NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",8
"GO:0045271","CC","GO:0045271","respiratory chain complex I","8/170","199/71190",3.21702487429511e-08,2.46638573695958e-06,1.81733685881232e-06,"NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",8
"GO:0098803","CC","GO:0098803","respiratory chain complex","10/170","393/71190",4.54476851336222e-08,2.61324189518327e-06,1.92554665960873e-06,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","10/170","404/71190",5.87521810174813e-08,2.70260032680414e-06,1.99138971448726e-06,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0070469","CC","GO:0070469","respirasome","10/170","425/71190",9.39532818670001e-08,3.60154247156834e-06,2.65376813694509e-06,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12",10
"GO:0005782","CC","GO:0005782","peroxisomal matrix","6/170","230/71190",2.10070109250717e-05,0.000603951564095812,0.000445016941965335,"PHYH/HSD17B4/GSTK1/ECI2/CRAT/CAT",6
"GO:0031907","CC","GO:0031907","microbody lumen","6/170","230/71190",2.10070109250717e-05,0.000603951564095812,0.000445016941965335,"PHYH/HSD17B4/GSTK1/ECI2/CRAT/CAT",6
"GO:0042612","CC","GO:0042612","MHC class I protein complex","3/170","29/71190",4.66999813718444e-05,0.00119344396839158,0.000879379766183269,"HLA-C/HLA-B/B2M",3
"GO:0042824","CC","GO:0042824","MHC class I peptide loading complex","3/170","48/71190",0.0002138047461558,0.00491750916158341,0.00362342780327198,"TAPBP/PDIA3/B2M",3
"GO:0061779","CC","GO:0061779","Tapasin-ERp57 complex","2/170","17/71190",0.00075300675554179,0.0157446867067829,0.0116013480997348,"TAPBP/PDIA3",2
"GO:0030863","CC","GO:0030863","cortical cytoskeleton","6/170","485/71190",0.00116168949538836,0.022265715328277,0.0164063165576778,"UTRN/SNX9/NUMA1/MYO1C/GSN/CAST",6
"GO:0030670","CC","GO:0030670","phagocytic vesicle membrane","5/170","333/71190",0.00129131036067324,0.0228462602272958,0.0168340864832706,"TAPBP/HLA-C/HLA-B/B2M/APLP2",5
"GO:0055038","CC","GO:0055038","recycling endosome membrane","5/170","346/71190",0.00152736155261312,0.0250923683643585,0.0184891135316326,"TPCN1/PDIA3/HLA-C/HLA-B/B2M",5
"GO:0042611","CC","GO:0042611","MHC protein complex","3/170","100/71190",0.00182522344259432,0.0279867594531128,0.0206218227549253,"HLA-C/HLA-B/B2M",3
"GO:0000313","CC","GO:0000313","organellar ribosome","5/170","377/71190",0.00221677783193258,0.0299917000790879,0.0220991474266964,"MRPS33/MRPS26/MRPL27/MRPL18/MRPL58",5
"GO:0005761","CC","GO:0005761","mitochondrial ribosome","5/170","377/71190",0.00221677783193258,0.0299917000790879,0.0220991474266964,"MRPS33/MRPS26/MRPL27/MRPL18/MRPL58",5
"GO:0033116","CC","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","5/170","396/71190",0.00273770935752396,0.0349818417905839,0.0257760939509566,"STING1/TAPBP/CD59/CD55/ASPSCR1",5
"GO:0005637","CC","GO:0005637","nuclear inner membrane","4/170","248/71190",0.00307292479206096,0.0368315801346499,0.0271390590465841,"TOR1AIP1/PTGS2/LMNB2/LMNB1",4
"GO:0032437","CC","GO:0032437","cuticular plate","2/170","35/71190",0.00320274609866521,0.0368315801346499,0.0271390590465841,"SNX9/MYO1C",2
"GO:0012507","CC","GO:0012507","ER to Golgi transport vesicle membrane","4/170","269/71190",0.00410070628736189,0.0425903240702564,0.0313823440517679,"HLA-C/HLA-B/CD59/B2M",4
"GO:0071556","CC","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane","3/170","135/71190",0.00425903240702564,0.0425903240702564,0.0313823440517679,"TAPBP/HLA-C/HLA-B",3
"GO:0098553","CC","GO:0098553","lumenal side of endoplasmic reticulum membrane","3/170","135/71190",0.00425903240702564,0.0425903240702564,0.0313823440517679,"TAPBP/HLA-C/HLA-B",3
"GO:0001533","CC","GO:0001533","cornified envelope","3/170","145/71190",0.00519462382904576,0.0497818116950219,0.036681334933174,"PPL/KRT2/KRT1",3
"GO:0016655","MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","12/168","260/68155",3.06962874322336e-12,1.30459221586993e-09,1.02428664379137e-09,"NQO2/NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/CRYZ/AKR1C1",12
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","12/168","288/68155",1.01255022276546e-11,2.1516692233766e-09,1.68936010850869e-09,"UQCRFS1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12/CYBRD1/CYB561D2",12
"GO:0003955","MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","10/168","183/68155",3.95733074561963e-11,5.60621855629447e-09,4.40166261881201e-09,"NQO2/NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",10
"GO:0016651","MF","GO:0016651","oxidoreductase activity, acting on NAD(P)H","12/168","381/68155",2.53064902717187e-10,2.68881459137011e-08,2.11109405687758e-08,"NQO2/NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/CRYZ/AKR1C1",12
"GO:0050136","MF","GO:0050136","NADH dehydrogenase (quinone) activity","9/168","176/68155",6.90332300696197e-10,5.86782455591767e-08,4.60705977517251e-08,"NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",9
"GO:0003954","MF","GO:0003954","NADH dehydrogenase activity","9/168","193/68155",1.55610045758869e-09,1.10223782412532e-07,8.65410254483535e-08,"NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",9
"GO:0008137","MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity","8/168","169/68155",1.14761743010598e-08,6.96767725421488e-07,5.4705973735879e-07,"NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5",8
"GO:0016209","MF","GO:0016209","antioxidant activity","9/168","414/68155",1.04234049860351e-06,5.53743389883113e-05,4.34765707970147e-05,"TXNRD2/PTGS2/PRDX2/NQO1/MGST3/HBA1/GSTM2/GSTK1/CAT",9
"GO:0004601","MF","GO:0004601","peroxidase activity","7/168","250/68155",3.28347082925658e-06,0.000155052789159339,0.000121738041271852,"PTGS2/PRDX2/MGST3/HBA1/GSTM2/GSTK1/CAT",7
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","7/168","264/68155",4.69282686818316e-06,0.000199445141897784,0.000156592222864638,"PTGS2/PRDX2/MGST3/HBA1/GSTM2/GSTK1/CAT",7
"GO:0046977","MF","GO:0046977","TAP binding","3/168","44/68155",0.000180879289416974,0.00698851800020128,0.00548696026269674,"TAPBP/HLA-C/HLA-B",3
"GO:0008458","MF","GO:0008458","carnitine O-octanoyltransferase activity","2/168","10/68155",0.000268291408533918,0.00877106527899348,0.00688650821904875,"CRAT/CAT",2
"GO:0016414","MF","GO:0016414","O-octanoyltransferase activity","2/168","10/68155",0.000268291408533918,0.00877106527899348,0.00688650821904875,"CRAT/CAT",2
"GO:0016415","MF","GO:0016415","octanoyltransferase activity","2/168","11/68155",0.000327380079645938,0.00993832384639456,0.00780296881562124,"CRAT/CAT",2
"GO:0140571","MF","GO:0140571","transmembrane ascorbate ferrireductase activity","2/168","12/68155",0.000392219282706196,0.0111128796766756,0.008725158780201,"CYBRD1/CYB561D2",2
"GO:0140575","MF","GO:0140575","transmembrane monodehydroascorbate reductase activity","2/168","13/68155",0.000462780647746193,0.0122926109557583,0.00965141219312785,"CYBRD1/CYB561D2",2
"GO:0004165","MF","GO:0004165","delta(3)-delta(2)-enoyl-CoA isomerase activity","2/168","17/68155",0.000801683942812197,0.0200420985703049,0.0157358396205242,"ECI2/ECI1",2
"GO:0005200","MF","GO:0005200","structural constituent of cytoskeleton","6/168","453/68155",0.000962731046416423,0.0227311497070544,0.0178471193984799,"TLN2/PPL/PLEC/KRT5/KRT2/CROCC",6
"GO:0003997","MF","GO:0003997","acyl-CoA oxidase activity","2/168","25/68155",0.00174565923680232,0.0390476408232097,0.0306578381200185,"CRAT/CAT",2
"GO:0016406","MF","GO:0016406","carnitine O-acyltransferase activity","2/168","28/68155",0.00218888276892577,0.0465137588396725,0.0365197809341825,"CRAT/CAT",2
