"","ID","Description","Count","GeneRatio","geneID"
"GO:0140756","GO:0140756","structural constituent of proteasome",0,"0/173",""
"GO:0005319","GO:0005319","lipid transporter activity",2,"2/173","TSPO/TMEM41B"
"GO:0022857","GO:0022857","transmembrane transporter activity",20,"20/173","UQCRFS1/TPCN1/TAPBP/SLC25A4/SLC25A24/SLC25A1/SLC17A5/SFXN1/PKD1/NDUFS5/NDUFC2/NDUFB5/NDUFB4/NDUFB3/NDUFB10/NDUFA9/NDUFA5/MTCO2P12/CYBRD1/CYB561D2"
"GO:0140318","GO:0140318","protein transporter activity",0,"0/173",""
"GO:0000035","GO:0000035","acyl binding",0,"0/173",""
"GO:0003682","GO:0003682","chromatin binding",3,"3/173","TPR/TFAM/H1-5"
"GO:0003823","GO:0003823","antigen binding",4,"4/173","TAPBP/SIRPA/HLA-C/HLA-B"
"GO:0005515","GO:0005515","protein binding",138,"138/173","RBM27/UTRN/UQCRFS1/TXNRD2/TSPO/TRIOBP/TREX1/TPR/TPD52L2/TPCN1/TOR1AIP1/TNFAIP2/TMEM41B/STING1/TMEM14C/TLN2/DDR2/TFAM/TAPBP/SUCLA2/SNX9/SLC25A4/SIRPA/SFXN1/SEC61B/RRP7A/PYCR2/PYCARD/PTGS2/PRSS3/PROCR/PRDX2/PPL/PPIA/PPFIBP1/PLEC/PLAUR/PKD1/PIR/PHYH/PHIP/PDLIM5/PDIA3/OTUD4/OSMR/NUP50/NUMA1/NT5E/NQO2/NQO1/NDUFS5/NDUFC2/NDUFB5/NDUFB10/NDUFA9/NDUFA5/NAT10/NADK2/MYO1C/MTCO2P12/MRPL27/MRPL18/MPRIP/MICU2/MGST3/METTL7A/MAVS/LYRM7/LYRM4/LMNB2/LMNB1/LGALS1/LACTB/KRT5/KRT2/KRT1/KRR1/ITGB5/ISOC2/IRS2/ICAM1/HSD17B4/HSD11B1/HNRNPM/HMBS/HLA-C/HLA-B/H3-7/H1-5/HBA1/GUK1/GSTM2/GSTK1/GSN/GPNMB/FYTTD1/FUBP1/FTL/FHL1/FCGRT/ETFA/ESYT2/ENO1/ENDOD1/EIF2AK2/EEA1/ECI2/DPP4/DARS2/CYBRD1/CYB561D2/CRYZ/CRYL1/CROCC/CPNE3/CLU/CD82/CD59/CD55/CD109/CAT/CAST/CARD19/B2M/ATOX1/ATAD3A/ASPSCR1/ARF4/APLP2/APOOL/ANXA5/ALDH7A1/AKR1C1/AHNAK/ADAM9/ACSF3/ACOT13/AAMDC"
"GO:0005549","GO:0005549","odorant binding",0,"0/173",""
"GO:0008289","GO:0008289","lipid binding",15,"15/173","TSPO/TPCN1/SNX9/NUMA1/MYO1C/HSD11B1/GSTM2/GSN/ESYT2/EEA1/CPNE3/CD55/APLP2/ANXA5/ACBD5"
"GO:0008430","GO:0008430","selenium binding",0,"0/173",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/173",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/173",""
"GO:0030246","GO:0030246","carbohydrate binding",5,"5/173","PKD1/PHYH/LGALS1/KRT1/GALM"
"GO:0031409","GO:0031409","pigment binding",0,"0/173",""
"GO:0033218","GO:0033218","amide binding",10,"10/173","TAPBP/PPIA/NQO2/HLA-C/HLA-B/GSTM2/ECI2/CLU/CAT/ACBD5"
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/173",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/173",""
"GO:0036094","GO:0036094","small molecule binding",29,"29/173","TXNRD2/TSPO/TREX1/STING1/DDR2/SUCLA2/PHYH/NT5E/NQO2/NAT10/NADK2/MYO1C/ME2/HSD11B1/HBA1/GUK1/ETFA/EIF2AK2/ECI2/DARS2/CRYZ/CRYL1/CAT/CARS2/ATAD3B/ATAD3A/ARF4/ACSF3/ACBD5"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/173",""
"GO:0042562","GO:0042562","hormone binding",2,"2/173","TSPO/SEC61B"
"GO:0043167","GO:0043167","ion binding",55,"55/173","RBM27/UTRN/UQCRFS1/TXNRD2/TREX1/TPCN1/STING1/DDR2/SUCLA2/SLC25A24/PTGS2/PRSS3/PRSS1/PIR/PHYH/PDLIM5/NT5E/NQO2/NAT10/NADK2/MYO1C/MTCO2P12/MICU2/ME2/HBA1/GUK1/GSTM2/GSN/FTL/FHL1/ETFA/ESYT2/ENO1/ENDOD1/EIF2AK2/EEA1/DARS2/CYBRD1/CYB561D2/CRYZ/CRYL1/CPNE3/CAT/CARS2/CA12/ATOX1/ATAD3B/ATAD3A/ARF4/APLP2/ANXA5/AKR1C1/ADAM9/ACSF3/ACOT13"
"GO:0043176","GO:0043176","amine binding",0,"0/173",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/173",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/173",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/173",""
"GO:0044877","GO:0044877","protein-containing complex binding",28,"28/173","RBM27/UTRN/TXNRD2/TRIOBP/TREX1/TPR/TLN2/DDR2/TAPBP/SNX9/SEC61B/PPIA/PHIP/NUMA1/NDUFA9/MYO1C/MPRIP/ITGB5/IRS2/ICAM1/H1-5/GSN/GPNMB/FCGRT/CLU/B2M/APLP2/ADAM9"
"GO:0046790","GO:0046790","virion binding",1,"1/173","PPIA"
"GO:0046812","GO:0046812","host cell surface binding",0,"0/173",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/173",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/173",""
"GO:0048038","GO:0048038","quinone binding",0,"0/173",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/173",""
"GO:0050825","GO:0050825","ice binding",0,"0/173",""
"GO:0050840","GO:0050840","extracellular matrix binding",2,"2/173","LGALS1/ADAM9"
"GO:0050997","GO:0050997","quaternary ammonium group binding",2,"2/173","DDR2/ESYT2"
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/173",""
"GO:0051540","GO:0051540","metal cluster binding",1,"1/173","UQCRFS1"
"GO:0070025","GO:0070025","carbon monoxide binding",0,"0/173",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/173",""
"GO:0072328","GO:0072328","alkene binding",0,"0/173",""
"GO:0072341","GO:0072341","modified amino acid binding",2,"2/173","GSTM2/APLP2"
"GO:0097159","GO:0097159","organic cyclic compound binding",61,"61/173","RBM27/TXNRD2/TSPO/TREX1/TPR/TPD52L2/STING1/DDR2/TFAM/SUCLA2/SEC61B/RRP7A/RBMXL1/PTGS2/PPIA/PLEC/PHYH/PDIA3/OTUD4/NT5E/NQO2/NQO1/NAT10/NADK2/MYO1C/MRPS26/MRPL27/MRPL18/ME2/LMNB1/LGALS1/KRR1/MRPL58/HSD11B1/HNRNPM/H3-7/H1-5/HBA1/GUK1/FYTTD1/FUBP1/ETFA/ENO1/ENDOD1/EIF2AK2/ECI2/DARS2/CYB561D2/CRYZ/CRYL1/CPNE3/CAT/CAST/CARS2/ATAD3B/ATAD3A/ARF4/APLP2/AHNAK/ACSF3/ACBD5"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/173",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",21,"21/173","TREX1/STING1/DDR2/SUCLA2/PPIA/NAT10/NADK2/MYO1C/GUK1/GPNMB/FHL1/EIF2AK2/ECI2/DARS2/CARS2/ATAD3B/ATAD3A/ARF4/APLP2/ACSF3/ACBD5"
"GO:0140272","GO:0140272","exogenous protein binding",4,"4/173","ITGB5/ICAM1/DPP4/CD55"
"GO:0140355","GO:0140355","cargo receptor ligand activity",0,"0/173",""
"GO:1901363","GO:1901363","heterocyclic compound binding",60,"60/173","RBM27/TXNRD2/TREX1/TPR/TPD52L2/STING1/DDR2/TFAM/SUCLA2/SEC61B/RRP7A/RBMXL1/PTGS2/PPIA/PLEC/PHYH/PDIA3/OTUD4/NT5E/NQO2/NQO1/NAT10/NADK2/MYO1C/MRPS26/MRPL27/MRPL18/ME2/LMNB1/LGALS1/KRR1/MRPL58/HSD11B1/HNRNPM/H3-7/H1-5/HBA1/GUK1/FYTTD1/FUBP1/ETFA/ENO1/ENDOD1/EIF2AK2/ECI2/DARS2/CYB561D2/CRYZ/CRYL1/CPNE3/CAT/CAST/CARS2/ATAD3B/ATAD3A/ARF4/APLP2/AHNAK/ACSF3/ACBD5"
"GO:1901567","GO:1901567","fatty acid derivative binding",2,"2/173","ECI2/ACBD5"
"GO:1901681","GO:1901681","sulfur compound binding",8,"8/173","DDR2/PPIA/GSTM2/GPNMB/FHL1/ECI2/APLP2/ACBD5"
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/173",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/173",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/173",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/173",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/173",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase (NADPH) activity",0,"0/173",""
"GO:0004601","GO:0004601","peroxidase activity",7,"7/173","PTGS2/PRDX2/MGST3/HBA1/GSTM2/GSTK1/CAT"
"GO:0004784","GO:0004784","superoxide dismutase activity",1,"1/173","NQO1"
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",1,"1/173","TXNRD2"
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/173",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/173",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/173",""
"GO:0051920","GO:0051920","peroxiredoxin activity",1,"1/173","PRDX2"
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/173",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/173",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/173",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/173",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/173",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/173",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/173",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/173",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/173",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/173",""
"GO:0097020","GO:0097020","COPII receptor activity",0,"0/173",""
"GO:0140488","GO:0140488","heme receptor activity",0,"0/173",""
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone",0,"0/173",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",1,"1/173","EIF2AK2"
"GO:0030371","GO:0030371","translation repressor activity",0,"0/173",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/173",""
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",1,"1/173","MRPL58"
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/173",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/173",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/173",""
"GO:0031992","GO:0031992","energy transducer activity",0,"0/173",""
"GO:0038023","GO:0038023","signaling receptor activity",11,"11/173","TSPO/DDR2/PROCR/PLAUR/PKD1/OSMR/MRGPRF/ME2/KRT1/ITGB5/ICAM1"
"GO:0030533","GO:0030533","triplet codon-amino acid adaptor activity",0,"0/173",""
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity",2,"2/173","RBM27/MAVS"
"GO:0106260","GO:0106260","DNA-DNA tethering activity",0,"0/173",""
"GO:0003925","GO:0003925","G protein activity",0,"0/173",""
"GO:0016247","GO:0016247","channel regulator activity",0,"0/173",""
"GO:0030234","GO:0030234","enzyme regulator activity",9,"9/173","SIRPA/PYCARD/EIF2AK2/COL6A3/CD109/CAST/ARF4/APLP2/ANXA5"
"GO:0030545","GO:0030545","signaling receptor regulator activity",2,"2/173","GPNMB/DPP4"
"GO:0060590","GO:0060590","ATPase regulator activity",0,"0/173",""
"GO:0140659","GO:0140659","cytoskeletal motor regulator activity",0,"0/173",""
"GO:0140677","GO:0140677","molecular function activator activity",1,"1/173","TOR1AIP1"
"GO:0140678","GO:0140678","molecular function inhibitor activity",0,"0/173",""
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/173","HBA1"
"GO:0016530","GO:0016530","metallochaperone activity",1,"1/173","ATOX1"
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/173",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/173",""
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/173",""
"GO:0140414","GO:0140414","phosphopantetheine-dependent carrier activity",0,"0/173",""
"GO:0140597","GO:0140597","protein carrier chaperone",1,"1/173","CLU"
"GO:0001070","GO:0001070","RNA-binding transcription regulator activity",0,"0/173",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/173",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/173",""
"GO:0003700","GO:0003700","DNA-binding transcription factor activity",2,"2/173","TFAM/ENO1"
"GO:0003711","GO:0003711","transcription elongation regulator activity",0,"0/173",""
"GO:0003712","GO:0003712","transcription coregulator activity",2,"2/173","PIR/ENO1"
"GO:0043856","GO:0043856","anti-sigma factor antagonist activity",0,"0/173",""
"GO:0000995","GO:0000995","RNA polymerase III general transcription initiation factor activity",0,"0/173",""
"GO:0001181","GO:0001181","RNA polymerase I general transcription initiation factor activity",0,"0/173",""
"GO:0016251","GO:0016251","RNA polymerase II general transcription initiation factor activity",0,"0/173",""
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",0,"0/173",""
"GO:0005034","GO:0005034","osmosensor activity",0,"0/173",""
"GO:0019826","GO:0019826","oxygen sensor activity",0,"0/173",""
"GO:0035991","GO:0035991","nitric oxide sensor activity",0,"0/173",""
"GO:0061891","GO:0061891","calcium ion sensor activity",0,"0/173",""
"GO:0070027","GO:0070027","carbon monoxide sensor activity",0,"0/173",""
"GO:0097063","GO:0097063","cadmium ion sensor activity",0,"0/173",""
"GO:0097077","GO:0097077","copper ion sensor activity",0,"0/173",""
"GO:0106219","GO:0106219","zinc ion sensor activity",0,"0/173",""
"GO:0106254","GO:0106254","lipid sensor activity",0,"0/173",""
"GO:0120285","GO:0120285","tyrosine sensor activity",0,"0/173",""
"GO:0120286","GO:0120286","tryptophan sensor activity",0,"0/173",""
"GO:0140442","GO:0140442","peroxide sensor activity",0,"0/173",""
"GO:0140482","GO:0140482","iron sensor activity",0,"0/173",""
"GO:0140550","GO:0140550","phosphatidylinositol-4,5-bisphosphate sensor activity",0,"0/173",""
"GO:0140612","GO:0140612","DNA damage sensor activity",0,"0/173",""
"GO:0097351","GO:0097351","toxin sequestering activity",0,"0/173",""
"GO:0140311","GO:0140311","protein sequestering activity",0,"0/173",""
"GO:0140319","GO:0140319","receptor decoy activity",0,"0/173",""
"GO:0140487","GO:0140487","metal ion sequestering activity",0,"0/173",""
"GO:0140610","GO:0140610","RNA sequestering activity",0,"0/173",""
"GO:0000497","GO:0000497","DNA template activity",0,"0/173",""
"GO:0140490","GO:0140490","microtubule nucleator activity",0,"0/173",""
"GO:0140523","GO:0140523","GTPase-dependent fusogenic activity",0,"0/173",""
"GO:0004176","GO:0004176","ATP-dependent peptidase activity",0,"0/173",""
"GO:0004386","GO:0004386","helicase activity",0,"0/173",""
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA",0,"0/173",""
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA",0,"0/173",""
"GO:0008568","GO:0008568","microtubule-severing ATPase activity",0,"0/173",""
"GO:0015645","GO:0015645","fatty acid ligase activity",1,"1/173","ACSF3"
"GO:0016887","GO:0016887","ATP hydrolysis activity",3,"3/173","MYO1C/ATAD3B/ATAD3A"
"GO:0030899","GO:0030899","calcium-dependent ATPase activity",0,"0/173",""
"GO:0036310","GO:0036310","ATP-dependent DNA/DNA annealing activity",0,"0/173",""
"GO:0036402","GO:0036402","proteasome-activating activity",0,"0/173",""
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity",1,"1/173","TAPBP"
"GO:0070463","GO:0070463","tubulin-dependent ATPase activity",0,"0/173",""
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity",0,"0/173",""
"GO:0140545","GO:0140545","protein disaggregase activity",0,"0/173",""
"GO:0140567","GO:0140567","transmembrane protein dislocase activity",0,"0/173",""
"GO:0140663","GO:0140663","ATP-dependent FeS chaperone activity",0,"0/173",""
"GO:1990833","GO:1990833","clathrin-uncoating ATPase activity",0,"0/173",""
